School Year,Data Level,Public Or Independent,District Number,District Name,Mincode,School Name,Num Of Schools In Data Level,Total Classes,Classes With Ed Assist,Total Classes Greater 30,Avg Class Size K,Avg Class Size 1 3,Avg Class Size 4 7,Avg Class Size 8 12
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333040,Promontory Heights Community Elementary,1,23,12,,22,21.9,28,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333040,Promontory Heights Community Elementary,1,22,10,,21.8,23.8,29.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333040,Promontory Heights Community Elementary,1,22,11,,20.3,23.9,29.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333040,Promontory Heights Community Elementary,1,21,13,,22,23.2,29.4,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333040,Promontory Heights Community Elementary,1,23,13,,20,24,29.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,6,5,,22,22.7,28.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,2,,22,22.7,21.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,7,,17,22.3,22,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,7,,17,20.9,22.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,3,,20,18.3,25.2,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,6,,20,21.3,25.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,7,,19,21.5,25.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,5,,18,20.6,24,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333042,Greendale Elementary,1,7,6,,18.5,20,21.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,237,19,5,,,26.4,25.4
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,242,2,7,,,25.5,24.9
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,205,23,13,,,27.8,23.3
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,184,31,15,,,28.3,26.2
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,210,33,20,,,28.6,22.8
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,252,3,28,,,27.6,23.2
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,182,46,,,,28.9,25.1
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,241,84,1,,,26.8,21.7
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,33,Chilliwack,3333043,GW Graham Middle Secondary,1,354,48,3,,,24.4,21.9
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,4,,16,16,24.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,2,1,11,15.5,28,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,2,,12,18.5,22,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,3,,12,17,20.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,4,,13,17,22,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,,,22,18,23.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,5,4,,22,22.4,26,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,6,6,,22,23.2,22,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434003,Mt Lehman Elementary,1,7,6,,22,22.6,25.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,16,8,,19,20.4,29.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,16,10,,19.3,20.2,29.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,16,12,,20.3,21.1,29.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,17,11,,21.3,21.8,24.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,17,9,,21.7,21.4,25.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,17,,,21,22.6,25.4,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,18,5,,22,23.3,23.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,18,11,,21.7,23.8,24.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434005,ASIA - North Poplar,1,18,11,,22,23,26.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,10,3,,15,23.8,24.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,10,4,,20,21.8,25.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,11,7,,16,21.6,24.7,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,11,11,,18,22.7,27.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,11,1,,18.3,20.5,26.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,11,,,19.4,20,25.6,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,11,10,,18.6,19.8,24.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,10,4,,20.7,23.7,28.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434007,Upper Sumas Elementary,1,10,4,,14,24,29.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,5,,16,22.4,26.4,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,1,,16,22.6,26.9,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,5,,8,21.6,27.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,2,,21,18.2,25.4,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,3,,22,22.4,24.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,6,,,19,23.6,27.6,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,7,4,,22,20.8,24.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,7,4,,17,20.7,24,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434011,Bradner Elementary,1,7,7,,16,23.1,26.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434012,Dunach Elementary,1,7,6,,12,18.7,18.7,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434012,Dunach Elementary,1,6,4,,17,16.6,22.2,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434012,Dunach Elementary,1,6,6,,19,19.5,23.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434012,Dunach Elementary,1,6,3,,14,21.1,23.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434012,Dunach Elementary,1,6,5,,14,15.3,24.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434014,Philip Sheffield Elementary,1,3,3,,13,19.8,30,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,11,11,,22,22.5,27.7,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,11,4,,22,21.5,25.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,11,11,,21.5,22,28,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,11,11,,21,22.8,25,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,11,11,,21,22.2,26,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,12,,,19,23,25,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,12,12,,21.5,22.3,25.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,12,12,,20.5,23.5,25.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434016,South Poplar Traditional Elementary,1,12,12,,22,23.7,25,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,21,5,,18.5,19,26.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,20,8,,18.3,21.3,25.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,20,9,,20.5,21.6,24.6,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,21,3,,19,21.6,27.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,21,16,,19.5,19.8,27.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,22,,,17.3,20.6,26,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,22,14,,19.7,21.4,25.7,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,21,18,,19.6,20.4,26,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434018,Clearbrook Elementary,1,20,20,,19.6,23,26.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,,,20,19.7,30,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,,,19,20.2,30,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,2,,20.3,20.3,29.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,2,,20,20.4,29.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,2,,19.7,20.1,29.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,,,19.3,20.2,29.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,3,,20.3,19.6,29.8,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,3,,22,22.3,29,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434019,King Traditional Elementary,1,16,4,,21.7,22.5,28.9,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,6,,,,30,29.6
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,6,,,,29.9,29.8
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,3,1,,,29.8,30.2
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,4,,,,29.9,30
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,4,,,,29.9,29.8
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,,,,,30,29.6
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,8,,,,29.9,30
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,4,,,,29.5,29.8
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434020,Abbotsford Traditional Middle School,1,15,11,,,,28.1,29
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,9,8,,18,20.4,27.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,9,9,,21.5,20.1,27.1,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,9,4,,21.4,18.9,22.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,9,9,,19.5,18.6,28.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,8,7,,20,19,27,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,8,1,,15.5,20.2,24.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,8,7,,20,19.5,21.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,8,7,,19.5,19.3,22,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434021,Alexander Elementary,1,9,8,,22,16,25,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,195,38,3,,,,22.9
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,224,33,14,,,,22.6
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,187,47,22,,,,23.9
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,172,34,10,,,,24.4
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,146,35,30,,,,25.1
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,144,27,14,,,,24.5
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,127,31,,,,,23
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,197,50,,,,,18.8
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434022,Abbotsford Senior Secondary School,1,189,81,,,,,21.3
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,6,1,,13,17.7,20.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,5,2,,17,19.2,21.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,4,,,14,18.8,24.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,5,5,,11.7,18,28,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,4,1,,20,17.9,24.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,4,,,22,17.5,20,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,4,2,,19,20.9,22,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,5,4,,13,18,21,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434023,Barrowtown Elementary,1,5,5,,19,17.3,17.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,20,20,,,,27.8,27.6
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,20,20,2,,,27.8,29.9
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,20,17,,,,27.8,25.5
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,19,19,,,,28.2,27.1
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,18,15,,,,29.5,27.4
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,18,2,2,,,27.8,27.7
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,19,13,,,,27.5,28.7
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,19,18,,,,29.5,26.9
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434025,Abbotsford Middle School,1,19,19,,,,29.4,27.7
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,6,,,18,21,25.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,6,,,17,19.2,25.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,7,6,1,15,20.4,25.9,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,8,2,,12.5,23,27.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,8,3,,16,22,24.3,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,8,,,17.7,18.4,25,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,8,7,,20,21.2,24.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,7,6,,21.5,22.2,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434026,Aberdeen Elementary,1,7,7,,22,21,24,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,17,3,,18,20.7,29.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,17,2,,20.7,22.9,27.9,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,17,1,,21,22.7,29.6,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,17,2,,19.3,23,29,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,17,5,,19.7,20.9,29,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,16,,,21.2,23.5,29.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,16,9,,21,23.9,30,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,16,16,,21.6,23.2,28.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434027,McMillan Elementary,1,16,8,,21,23.2,29.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,11,10,,20.9,22.7,29.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,14,13,,17.7,19.9,27.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,15,15,,20.8,21.1,24.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,15,15,,21.3,20.8,27.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,16,16,,18.7,22.4,24.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,16,1,,20,20,25.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,16,9,,19.3,19,26.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,15,13,,19,22.1,26.5,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434028,Godson Elementary,1,15,11,,17.7,21.1,26.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,2,,18.5,22.1,26.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,1,,18,21.6,27.2,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,8,,19.4,21,25.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,9,8,,19.3,21.5,26,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,7,,19.4,22.1,24.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,9,,,18.8,21.1,25,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,8,,18.6,21.4,28.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,4,,19.8,21.2,25,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434031,Jackson Elementary,1,8,8,,19.7,21,26.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,8,4,,13,18.3,22.6,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,7,7,,15,18.9,25.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,6,6,,19,19.4,24,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,6,6,,13.5,18,27,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,6,6,,21,23.1,24.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,10,3,,19.9,21.8,23.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,10,10,,20.6,20.3,25.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,10,9,,17.5,22.4,25.9,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434032,Ross Elementary,1,10,8,,18.9,22.4,26,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434033,Margaret Stenersen Elementary,1,16,4,,14.5,19.3,24.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434033,Margaret Stenersen Elementary,1,17,5,,15.8,19,25.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434033,Margaret Stenersen Elementary,1,16,2,,17.7,20.6,25.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,34,Abbotsford,3434033,Margaret Stenersen Elementary,1,16,3,,16.3,18.7,24.3,
